"Date","Temp_Mean","Deaths","AF","Attr_Deaths"
2015-12-22,16.7907166475,169,0.0957915709635773,16.1887754928446
2015-12-23,16.8237834,191,0.0955065908702428,18.2417588562164
2015-12-24,16.6556696875,167,0.0969515154974405,16.1909030880726
2015-12-25,16.271022557,159,0.100223485939229,15.9355342643374
2015-12-26,17.9238004665,160,0.0857695395044286,13.7231263207086
2015-12-27,19.704859735,172,0.0685492991265675,11.7904794497696
2015-12-28,21.70207357,146,0.0460642633781216,6.72538245320576
2015-12-29,23.04620123,140,0.0283696945699831,3.97175723979763
2015-12-30,23.43193579,130,0.0230034394697903,2.99044713107274
2015-12-31,22.807556155,160,0.03166847466461,5.0669559463376
2016-01-01,21.62753439,171,0.046979590628146,8.03350999741297
2016-01-02,21.50941324,149,0.0484167161189707,7.21409070172663
2016-01-03,21.025980475,163,0.0541337236481404,8.82379695464688
2016-01-04,21.325676915,171,0.0506202125883162,8.65605635260206
2016-01-05,21.347249035,150,0.0503634875744561,7.55452313616841
2016-01-06,21.19860506,148,0.052121944903311,7.71404784569003
2016-01-07,21.34182596,168,0.0504280755681277,8.47191669544545
2016-01-08,21.00611782,165,0.054363151666985,8.96992002505253
2016-01-09,19.56504917,156,0.0699833593579997,10.917404059848
2016-01-10,19.368442535,157,0.0719735697068263,11.2998504439717
2016-01-11,19.863679885,148,0.066900633652659,9.90129378059353
2016-01-12,20.272182945,149,0.0625594230435689,9.32135403349176
2016-01-13,20.03442955,161,0.0651040823742756,10.4817572622584
2016-01-14,19.41472578,162,0.0715077743189791,11.5842594396746
2016-01-15,18.81072712,161,0.0774619099870136,12.4713675079092
2016-01-16,18.987317085,142,0.0757481982695998,10.7562441542832
2016-01-17,18.648643015,163,0.0790163251347543,12.879660996965
2016-01-18,18.90861607,158,0.0765146053034989,12.0893076379528
2016-01-19,18.49944162,176,0.0804321463679277,14.1560577607553
2016-01-20,17.588763715,196,0.0887933089376403,17.4034885517775
2016-01-21,16.7196958065,162,0.0964023586889348,15.6171821076074
2016-01-22,16.934433461,174,0.0945501034789439,16.4517180053362
2016-01-23,17.646404741,177,0.0882770586498968,15.6250393810317
2016-01-24,18.140170572,166,0.0837855632121909,13.9084034932237
2016-01-25,18.096623419,155,0.0841869328726611,13.0489745952625
2016-01-26,18.2865848525,170,0.0824281563301524,14.0127865761259
2016-01-27,19.53609514,167,0.0702783705056556,11.7364878744445
2016-01-28,21.08106804,150,0.053495220868399,8.02428313025985
2016-01-29,22.362587455,173,0.0376542878542099,6.51419179877831
2016-01-30,21.86796808,137,0.0440031947762215,6.02843768434235
2016-01-31,22.058936595,137,0.0415887859099899,5.69766366966862
2016-02-01,21.72149515,170,0.0458246845428599,7.79019637228619
2016-02-02,20.733778475,145,0.0574672923225819,8.33275738677437
2016-02-03,19.73150587,163,0.0682741673917929,11.1286892848622
2016-02-04,19.414990425,176,0.0715051061625587,12.5848986846103
2016-02-05,19.63601112,176,0.0692574797496223,12.1893164359335
2016-02-06,20.374937535,165,0.061443581241169,10.1381909047929
2016-02-07,19.930504795,135,0.0662005456865808,8.93707366768841
2016-02-08,19.888532165,161,0.0666407181369092,10.7291556200424
2016-02-09,20.47651005,165,0.0603307720096833,9.95457738159774
2016-02-10,19.689751625,144,0.0687050354279205,9.89352510162055
2016-02-11,20.64350319,126,0.0584795391505968,7.3684219329752
2016-02-12,19.667600155,166,0.0689330358436471,11.4428839500454
2016-02-13,19.61528778,158,0.0694698828025436,10.9762414828019
2016-02-14,19.1480031,160,0.0741697821374195,11.8671651419871
2016-02-15,20.285996435,166,0.0624099917120691,10.3600586242035
2016-02-16,21.596945285,149,0.0473533193271761,7.05564457974924
2016-02-17,23.53364229,131,0.0215961921453396,2.82910117103949
2016-02-18,24.742735865,161,0.00624110181615611,1.00481739240113
2016-02-19,25.06947899,147,0.00288004864229907,0.423367150417963
2016-02-20,24.2244606,151,0.0123916195652114,1.87113455434692
2016-02-21,22.872398375,124,0.0307763220146576,3.81626392981755
2016-02-22,22.650435925,140,0.0338118650109914,4.7336611015388
2016-02-23,22.896071435,130,0.0304497088761406,3.95846215389828
2016-02-24,23.435348985,166,0.0229561074939861,3.8107138440017
2016-02-25,23.08753681,175,0.0277950482456365,4.86413344298639
2016-02-26,24.12678242,151,0.013638620701616,2.05943172594402
2016-02-27,24.690546035,136,0.00681898437645012,0.927381875197216
2016-02-28,25.285571575,118,0.000931306399031273,0.10989415508569
2016-02-29,25.49044466,147,-0.000686275149697879,-0.100882447005588
2016-03-01,26.579797745,113,-0.00459199610086425,-0.51889555939766
2016-03-02,27.117126465,123,-0.00291818165796487,-0.358936343929679
2016-03-03,26.970570565,167,-0.00364607702334929,-0.608894862899332
2016-03-04,27.04652691,132,-0.00329524261760028,-0.434972025523237
2016-03-05,26.019514085,156,-0.00366543550182952,-0.571807938285405
2016-03-06,25.203791615,126,0.00164090524640681,0.206754061047258
2016-03-07,25.508662225,123,-0.00081848677892693,-0.100673873808012
2016-03-08,25.52358055,118,-0.000925288628406129,-0.109184058151923
2016-03-09,26.15306187,126,-0.00411071868875723,-0.517950554783411
2016-03-10,26.70389557,119,-0.00444284921154847,-0.528699056174268
2016-03-11,27.956540105,139,0.00519405428101938,0.721973545061694
2016-03-12,25.933891295,128,-0.00331126891853328,-0.42384242157226
2016-03-13,24.936549185,152,0.00419119667712209,0.637061894922557
2016-03-14,24.68569565,146,0.00687321863358037,1.00348992050273
2016-03-15,26.02339649,143,-0.00368024236504239,-0.526274658201061
2016-03-16,26.4881897,119,-0.00461572867930338,-0.549271712837102
2016-03-17,27.692938805,125,0.00199222639504437,0.249028299380546
2016-03-18,28.510887145,131,0.0133421223022849,1.74781802159933
2016-03-19,28.79700184,143,0.0180720983734179,2.58431006739877
2016-03-20,29.189860345,130,0.0248738725899839,3.2336034366979
2016-03-21,27.919671055,136,0.00471590787353626,0.641363470800932
2016-03-22,28.990283965,131,0.0213892866010319,2.80199654473518
2016-03-23,28.144872665,126,0.00777384539602022,0.979504519898547
2016-03-24,29.577835085,144,0.0316767738163033,4.56145542954767
2016-03-25,30.00087929,137,0.0388748119157991,5.32584923246448
2016-03-26,29.24906826,121,0.0259136149634229,3.13554741057417
2016-03-27,29.397323605,130,0.0285190455318156,3.70747591913603
2016-03-28,29.197377205,133,0.0250057884894296,3.32576986909413
2016-03-29,28.865800855,152,0.0192441014542526,2.92510342104639
2016-03-30,29.05397415,151,0.0224965701267029,3.39698208913214
2016-03-31,28.61105728,123,0.014967744531141,1.84103257733035
2016-04-01,29.692357065,160,0.033660035216683,5.38560563466929
2016-04-02,30.291116715,171,0.0435996331250037,7.45553726437563
2016-04-03,30.10516739,163,0.0405922546245013,6.61653750379372
2016-04-04,29.30436516,161,0.0268855458386863,4.32857288002849
2016-04-05,29.004365925,150,0.0216336200905024,3.24504301357536
2016-04-06,28.910950665,142,0.0200188303316444,2.84267390709351
2016-04-07,28.596129415,144,0.0147231981536327,2.1201405341231
2016-04-08,28.338328365,123,0.0106365402233239,1.30829444746884
2016-04-09,28.600985525,131,0.0148026660799678,1.93914925647579
2016-04-10,30.2111063,148,0.0423141251362028,6.26249052015802
2016-04-11,30.211406705,155,0.0423189755518961,6.5594412105439
2016-04-12,30.68562603,153,0.049756828519637,7.61279476350447
2016-04-13,31.174232485,150,0.0569895943497045,8.54843915245568
2016-04-14,31.36445236,170,0.0596958762747849,10.1482989667134
2016-04-15,31.09486866,154,0.0558428336596466,8.59979638358558
2016-04-16,31.05953407,152,0.0553288571584718,8.40998628808771
2016-04-17,30.54503155,162,0.047596388890562,7.71061500027104
2016-04-18,30.692943575,174,0.0498682730714006,8.67707951442371
2016-04-19,30.61166954,163,0.048624957171451,7.92586801894651
2016-04-20,31.10114479,147,0.0559339051835683,8.22228406198455
2016-04-21,30.76952744,138,0.051028775720059,7.04197104936815
2016-04-22,30.062291145,154,0.0398888728980679,6.14288642630245
2016-04-23,30.448348045,151,0.0460891702264666,6.95946470419646
2016-04-24,30.465400695,137,0.0463563000995822,6.35081311364277
2016-04-25,30.500971795,152,0.0469117346983202,7.13058367414467
2016-04-26,30.755605695,158,0.0508186054777681,8.02933966548735
2016-04-27,32.008782385,152,0.0684470587803007,10.4039529346057
2016-04-28,32.927051545,160,0.079946278053838,12.7914044886141
2016-04-29,33.378802295,173,0.0852494341196661,14.7481521027022
2016-04-30,33.08213234,140,0.0817905774959732,11.4506808494362
2016-05-01,32.98992157,174,0.0806970713570687,14.04129041613
2016-05-02,32.62701607,172,0.0763022979269784,13.1239952434403
2016-05-03,32.119292255,149,0.0698878348649634,10.4132873948795
2016-05-04,31.57041264,155,0.062561013661053,9.69695711746322
2016-05-05,31.73818302,171,0.0648468530505839,11.0888118716498
2016-05-06,31.65792465,141,0.0637586143276074,8.98996462019265
2016-05-07,31.996202465,143,0.0682819843119553,9.76432375660961
2016-05-08,33.02041912,143,0.0810597358429141,11.5915422255367
2016-05-09,33.563713075,169,0.0873620928149825,14.764193685732
2016-05-10,33.19633198,164,0.0831325157316266,13.6337325799868
2016-05-11,33.68698502,179,0.0887532159063833,15.8868256472426
2016-05-12,34.06339073,159,0.0929216237308251,14.7745381732012
2016-05-13,34.397504805,182,0.0965311016139236,17.5686604937341
2016-05-14,34.32411766,165,0.09574500943825,15.7979265573113
2016-05-15,34.64303398,171,0.0991357532324113,16.9522138027423
2016-05-16,34.352938655,180,0.096054161197859,17.2897490156146
2016-05-17,35.29372978,173,0.105876011237008,18.3165499440024
2016-05-18,36.009405135,153,0.11308868846816,17.3025693356284
2016-05-19,36.4481802,167,0.117447498074633,19.6137321784638
2016-05-20,35.74989891,141,0.11049175970871,15.5793381189281
2016-05-21,33.76419735,167,0.0896178023543667,14.9661729931792
2016-05-22,33.17106247,158,0.0828367333749399,13.0882038732405
2016-05-23,33.331593515,156,0.0847048796800731,13.2139612300914
2016-05-24,33.37630081,160,0.0852206333385728,13.6353013341716
2016-05-25,33.383598325,164,0.0853046363027286,13.9899603536475
2016-05-26,33.387401585,177,0.0853483960652686,15.1066661035525
2016-05-27,33.37446785,173,0.0851995257894015,14.7395179615665
2016-05-28,33.38472462,163,0.0853175967340766,13.9067682676545
2016-05-29,32.84923172,179,0.0790109493368393,14.1429599312942
2016-05-30,32.91353893,169,0.0797843477980524,13.4835547778709
2016-05-31,33.486511235,162,0.0864839071039135,14.010392950834
2016-06-01,33.156970025,178,0.0826714968006423,14.7155264305143
2016-06-02,33.127062795,145,0.0823201530171989,11.9364221874938
2016-06-03,33.820418355,151,0.0902441588100116,13.6268679803117
2016-06-04,34.947468755,183,0.102315956091797,18.7238199647989
2016-06-05,35.662673,161,0.109614664406992,17.6479609695258
2016-06-06,35.16849041,159,0.104594719395938,16.6305603839542
2016-06-07,34.557786945,169,0.0982356998617566,16.6018332766369
2016-06-08,33.784409525,167,0.0898432905644813,15.0038295242684
2016-06-09,33.8719883,164,0.0908163920893127,14.8938883026473
2016-06-10,33.26230621,171,0.0839017121593304,14.3471927792455
2016-06-11,32.686722755,152,0.0770357019650014,11.7094266986802
2016-06-12,32.835075375,179,0.0788400775677204,14.1123738846219
2016-06-13,32.53622818,156,0.0751789720535201,11.7279196403491
2016-06-14,32.511086465,160,0.0748661290805469,11.9785806528875
2016-06-15,32.378863335,171,0.0732080006677095,12.5185681141783
2016-06-16,32.55624199,163,0.0754274577433862,12.294675612172
2016-06-17,32.69900322,181,0.0771860293771508,13.9706713172643
2016-06-18,32.83103085,179,0.0787912174938481,14.1036279313988
2016-06-19,31.74526024,149,0.0649423569552636,9.67641118633428
2016-06-20,33.123745915,150,0.0822811301526195,12.3421695228929
2016-06-21,32.11620712,153,0.069847837768635,10.6867191786012
2016-06-22,31.64939785,150,0.0636424334674669,9.54636502012004
2016-06-23,31.6987257,162,0.0643130393370199,10.4187123725972
2016-06-24,31.347700115,166,0.0594598943805058,9.87034246716396
2016-06-25,31.43915558,142,0.0607427564125299,8.62547141057925
2016-06-26,30.831627845,145,0.0519620355493944,7.53449515466219
2016-06-27,31.057709695,153,0.0553022622889773,8.46124613021352
2016-06-28,30.61581135,145,0.0486886131359717,7.0598489047159
2016-06-29,30.24283123,147,0.0428253667075337,6.29532890600745
2016-06-30,30.199931145,137,0.0421335596174454,5.77229766759001
2016-07-01,30.57505226,144,0.0480607918997296,6.92075403356106
2016-07-02,29.76201248,148,0.0348550255045554,5.1585437746742
2016-07-03,30.66823387,155,0.0494915558711797,7.67119116003285
2016-07-04,28.680594445,127,0.0161166200986383,2.04681075252707
2016-07-05,29.80207443,127,0.0355377261845267,4.51329122543489
2016-07-06,29.937192915,151,0.0378148941086144,5.71004901040077
2016-07-07,29.692764285,132,0.0336670486976663,4.44405042809196
2016-07-08,29.8682518,158,0.0366578868259346,5.79194611849767
2016-07-09,29.06927681,135,0.0227633944704743,3.07305825351403
2016-07-10,28.69575119,135,0.0163690551940715,2.20982245119965
2016-07-11,28.597566605,132,0.0147467085639647,1.94656553044333
2016-07-12,27.50022507,137,2.1339575927426e-06,0.000292352190205736
2016-07-13,27.069836615,151,-0.00317622257779138,-0.479609609246498
2016-07-14,28.486145975,155,0.0129464489111298,2.00669958122512
2016-07-15,28.606892585,157,0.0148994420388155,2.33921240009404
2016-07-16,27.76980114,155,0.00287192637408362,0.445148587982961
2016-07-17,27.64084339,143,0.00142304595085685,0.203495570972529
2016-07-18,27.814447405,142,0.00340394735762373,0.483360524782569
2016-07-19,27.767857555,129,0.00284911123670661,0.367535349535153
2016-07-20,28.28852177,151,0.00988093758874442,1.49202157590041
